,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,how,-0.76903504,1.2071162,-0.7137975,0.6971003,-0.87864846,0.72281253,0.39936745,-0.5284519,-0.9764826,-0.6595964,0.28765845,0.25380623,0.5864589,0.94981384,0.98526764,1.5474669,0.80931234,-0.3408187,1.4433701,-0.44659594,0.3014198,1.0652058,1.4247756,-1.3273431,0.14993948,-0.17087372,0.054022122,-0.21589234,-0.38341245,0.828328,-0.7019511,0.22466002,-0.026911773,1.122833,0.4772187,0.6107699,-1.1204381,1.2561952,0.24975106,-0.13723934,-0.8641827,0.767111,-0.60015297,0.42242956,0.54247636,-0.08841973,-0.7142227,-0.5938337,0.3251469,-1.4863044,-0.14388752,1.7549398,-0.60367435,-0.74543214,0.7587176,-0.84137857,0.43346974,0.31572458,0.11757352,0.5993387,0.046695832,-0.14258659,0.17195347,-0.44290063,-0.15302277,-0.07258992,-0.16072428,0.31276855,-0.030946972,-1.2991303,0.61061114,0.65360045,-0.28509182,0.24397962,1.2018096,0.72281104,-0.69139445,-0.3834697,-0.10355879,1.078226,-0.5527637,0.6755448,-0.012841472,1.0727127,-0.103799894,0.14682756,-0.05560791,1.04966,0.5935188,-0.45267275,0.8122219,-0.34063697,-0.5231395,0.22743183,-0.39271522,0.0049385866,0.41984582,0.40292233,0.09463608,0.23260976
1,much,-0.40606093,-1.1728784,0.6889295,0.0432301,0.971408,0.20107211,0.425661,-0.2989587,-0.87495023,0.42215773,-0.3420126,0.86289823,-0.6922626,0.6640853,0.64187366,-0.50767756,1.4209344,0.5121959,-0.101778544,0.61869687,0.93465036,-0.27863225,-0.40624577,-0.3106106,0.5340216,-0.21671946,0.9996283,0.095982194,-0.35233232,0.41303524,-0.038158014,0.15636913,0.3173084,-0.09979504,-0.34940815,-0.5872508,-0.12124391,0.21444425,-0.36404255,-0.5384767,0.576102,-0.8358794,0.80267435,0.4366829,0.026712334,0.9254481,0.3317132,-1.0529479,0.6449043,-0.33000252,-0.16644633,1.0083373,0.04041686,0.6615463,1.1783769,-0.17805496,0.19027264,0.7769068,-0.6817165,-0.6958818,0.5835997,0.38220888,1.0421755,-0.16123627,-0.26908627,-0.38481054,-0.2743296,-0.37312952,-0.18875039,0.03362561,-1.5718087,-0.25588983,0.3339906,-1.013117,-0.739548,-0.25851855,-0.016894473,-0.6547234,-0.096643046,0.571015,-0.24375945,0.6141056,1.1072818,-0.28190354,0.54873806,-0.15437683,-0.7913746,0.052259654,0.36849207,-0.040740926,-0.07643562,1.0690339,-0.87604445,-0.20384027,0.9509896,-0.049565718,0.3797451,-0.04527634,-0.422888,0.08759094
2,time,1.0818753,0.23211229,-0.26444265,0.1836944,0.47275916,-0.024644786,0.062808044,0.51873237,0.45383826,-0.21518275,-0.18634188,0.21894957,-0.77076346,0.26036513,0.42336467,-0.5486064,0.28731793,-0.6575282,0.30218655,0.62778515,-0.17781018,-0.4807784,-0.19929332,0.4594019,-0.08525191,-0.11557926,-0.2059935,-0.048282642,0.5375134,0.06585505,-0.62550664,0.24223576,0.6532455,-0.3806514,-0.08615373,-0.65893525,0.29031166,0.009371765,-0.10141207,-0.38359436,-0.7009905,0.17392509,0.5510843,0.021318983,-0.20686933,0.57829744,-0.602545,-0.60194033,-0.6442904,0.24337465,0.08614561,0.3718581,-0.0423419,0.4541238,0.17387833,0.78940946,-0.17497997,0.35951877,-0.26082858,-0.081657305,0.103596464,0.28286877,0.98879844,0.08848764,0.06267415,0.30297732,-0.40296218,0.32656357,-0.16466482,-0.20195717,0.19320743,-0.053047523,-0.50196916,-0.8176608,0.035251845,0.18131146,-0.15434907,0.25429168,-0.010685437,-0.0054065376,-0.12656285,0.8254804,-0.3238628,0.17525719,0.49681067,0.72734207,-0.38363078,0.6918371,0.31471342,0.20641516,-1.0135154,0.5812625,0.047611818,-0.15248069,0.2937333,0.14744808,-0.03487694,-0.259018,-0.2284467,-0.26166394
3,do,-0.328422,0.7585935,1.1628267,0.28211844,0.60161996,0.7782006,0.096862674,0.86161286,-0.46250325,0.97100013,-0.14475532,-0.072812706,0.2619732,0.025867354,0.62962615,-0.24753813,-0.2345303,-0.4250074,-0.58558565,-0.8327907,-0.86822706,-0.050049342,-1.4913442,-0.6579206,-0.50116396,-0.48845056,0.89805526,0.12943691,0.94703186,0.28529584,0.022028895,-0.5038302,0.43240514,0.28107795,0.2682188,-0.8083939,-0.16074765,-0.43851152,-0.0044974834,-0.5371315,0.22587147,1.2369502,0.3716452,0.8123879,0.19170669,0.7253032,-0.535783,0.9291992,-0.6560947,-0.20424402,0.41781867,0.49588698,1.1400354,-0.95663685,-0.2570931,0.11585243,0.3115719,0.37261084,0.4879079,0.46821627,0.2095946,-0.44254974,-0.20486888,-0.7647396,0.55723345,0.8208546,0.06970926,0.17568937,-0.0012069631,-0.22068952,0.60007745,-1.2119373,-0.059985843,-0.68096685,-0.017734885,-0.06131736,-0.12346604,-0.6450185,-0.84661597,-0.39124838,0.7139765,-0.41365686,-0.16292465,0.26871678,-0.5577815,-0.33366337,-0.06617993,0.60093135,0.6405298,-0.65551275,-0.57267106,0.8094028,-0.23379426,-0.36705282,0.8564092,-0.66800725,-1.1200331,0.051093116,-0.53985626,-0.5360478
4,human,0.090849176,-0.10178619,-0.6928656,0.10121323,-1.1716198,0.56382674,0.32745153,0.13266852,0.84768564,0.5553113,0.021274423,-0.4118895,0.20622332,-0.7815702,-0.79955703,-0.85699195,-0.67790836,0.5963412,0.18288563,0.5462115,1.5081527,0.1443824,-0.13257495,-0.599109,0.6008393,-0.78558433,0.6290838,-0.10933119,-0.5907631,0.8092787,-0.073800616,-0.6958118,0.15850213,-0.08228868,0.43213677,0.85836786,0.44787765,-0.51996005,-1.0308695,0.3760116,-1.5484464,0.5178092,0.2140957,1.1702847,0.97963524,0.1712472,-1.2856066,-0.25293714,-0.23893268,-1.0719411,-0.06832775,1.0131679,-1.0081323,0.6223813,0.33388162,-1.0554999,-0.86408937,-0.73148966,-0.54498345,-0.7364477,-0.25226232,0.9839201,-0.036735002,1.0607603,0.12269429,0.51438665,-1.251581,0.40642905,0.106489874,-0.58482456,-0.030571474,-1.2525543,-0.8877772,1.7037264,0.1080778,0.81944895,1.0937656,0.58960813,0.004359304,-0.62918955,-0.24671496,-0.10731661,-0.59935594,-0.1961767,0.34047475,-0.039489757,-1.1160159,0.23708092,-0.21173653,0.47268882,-0.19041783,0.643993,1.5062814,-1.4241737,-0.04663613,0.5123138,0.9349785,-0.21550642,0.5674591,-0.9715738
5,have,0.7885859,-0.3920908,0.09953422,0.18803072,0.7578935,-0.3122571,0.05800334,0.56594354,-0.60227776,-0.74490815,0.284161,-1.0802904,0.92801034,0.09118708,0.61307704,-0.37892917,-0.42380777,0.51911175,0.6770874,-0.14131303,0.056115605,0.13942054,0.6947468,-0.43204996,0.01482008,-0.13727745,-0.7067659,-0.10479114,-0.25816053,-0.106286794,0.60686845,-0.61845076,-1.5142623,0.17302427,0.9907371,-0.0027373454,-0.5259447,0.37980613,0.20520334,-0.29043603,-0.28002554,0.03561005,-0.046873618,-0.9711987,0.36964518,0.6863246,0.30048203,0.75440466,-0.011560682,-0.43041325,-0.25117502,-0.08904312,-0.09535421,0.74028087,0.15476654,-0.0020457904,0.6929506,1.3086864,0.75365573,-0.38180685,0.59535563,0.83320886,0.33924323,0.33402833,0.35454944,-0.9792204,-0.8387612,0.04823999,0.0802969,-1.9587005,-0.06266599,-1.860729,0.5840606,-0.80713415,-0.35979855,-0.39253104,-1.2884353,0.11813661,0.26038057,-0.55308855,0.9262557,0.101408936,0.2792972,0.42998683,-0.6249273,0.21449606,-0.19818687,0.8101345,-0.88563526,0.3003411,0.34770796,0.33060038,0.082588986,-0.47340667,0.80302876,0.17622828,1.266827,0.3036461,0.06487471,-1.0654657
6,we,0.1622877,0.5034658,0.22335334,0.42643577,0.057799265,-1.003727,-0.6694973,-0.24174276,0.65747553,0.4968042,-1.1289921,0.78933877,0.028312039,0.45399737,-0.05906033,-0.7002739,1.2924829,0.23876199,-1.2582914,0.23951726,-0.573005,-0.3750312,-0.4960821,-1.0383418,-1.5296218,-1.5973788,0.60402894,0.73437375,-1.3976641,0.31789643,-0.009792644,-0.73824304,-0.2089297,-1.2437168,-0.65168273,1.3490466,-0.104706466,0.71704495,0.6283841,0.5093659,-0.3575052,-1.0039507,0.83188623,0.19253844,0.1862163,0.08768683,-1.1752433,0.13607424,-0.82082814,-0.6893602,-0.1497218,-0.26164642,-0.13885267,0.04501218,1.9043776,-1.2190801,-1.9763561,-0.69291586,0.39976966,-0.21334077,-0.37065834,1.2994909,0.9599091,-0.2030102,0.3858904,0.3049839,0.118662864,0.9254603,-1.0332811,-0.1957848,-0.3342273,0.14351566,0.029530328,-0.39612114,-1.3250306,0.2664353,0.78298557,0.44338468,0.8913891,0.06713048,0.5573049,-0.5422327,0.2934017,-0.906248,0.9426091,1.0356673,-0.28417748,-0.18412587,0.22612944,-0.5987957,0.4731351,0.5181667,-0.09595161,0.071529396,1.0918607,0.025053382,-1.4500406,-1.4431834,-0.122840695,-0.13918918
7,can,-0.12247831,0.9140946,0.176394,0.18344532,0.8524256,0.6338982,0.33097702,0.18578003,-0.8300105,0.52547884,0.24965928,-0.22233394,0.9856194,-1.1310127,0.011540056,-0.885174,-0.37426186,0.33784348,-1.134373,0.65267646,0.2940272,0.4311519,0.3587266,0.43375155,-0.0029735223,0.48642337,-0.14645506,-0.5062573,0.63427514,0.68428737,-0.01449878,1.0550517,-1.2451168,0.2357152,0.38537717,0.1682867,0.7489762,0.1438285,0.15234302,-0.37365264,-1.217627,0.61743885,0.44118455,-0.19420214,-0.20647857,0.9573299,0.34666565,-0.071027465,0.03011911,0.46279994,1.5499632,0.8156359,0.44615787,-0.011006732,0.7030479,-0.53752637,0.4847155,-0.2963723,0.55246806,-1.4376456,0.16295812,0.7065339,-0.66170424,-1.0842582,0.09912972,-0.9816654,0.22672164,0.327392,0.763275,0.11667311,0.51659113,0.030121531,0.2544575,-0.500298,0.16582702,0.46608412,-0.25214842,-0.6216196,-0.46416712,0.43726513,-0.29934102,0.6084991,1.5903244,0.8747013,-1.5468761,0.31341767,0.7178365,0.122752376,-0.099795945,0.9025844,1.6351749,-0.48181355,0.13926525,0.16916022,0.32263318,-0.3850767,1.2407749,-0.032061316,-0.6107172,-1.8207673
8,no,-0.39052108,0.42074147,0.5213054,0.3598282,0.10398294,0.6129538,0.27974218,0.22891873,-0.25120082,0.53633356,0.43846607,0.17942844,0.43980238,-0.03444816,0.35685286,0.6630619,0.39598066,0.01228408,-0.0023057193,-0.6428911,-0.27486303,0.12916437,-0.09158603,-0.27926126,-0.45709684,-0.2239397,0.05070696,-0.32270426,-0.5268316,-0.10138077,0.06676113,0.3533362,-0.10397858,0.5851634,-0.06514839,0.38847584,0.002217338,0.031055879,-0.008306884,0.079876125,-0.5272824,0.03669665,0.51249284,-0.028777525,0.29454,-0.94867265,0.15368587,0.124942474,-0.3128328,-0.09871335,-0.30865046,0.021304686,0.18547471,0.14467922,0.205355,0.24106304,-0.14649482,-0.040498786,-0.12841718,0.23803718,-0.9107337,-0.17009877,0.06844217,-0.12894356,-0.11266315,-0.22415663,0.2433244,-0.12441336,-0.4094078,0.11945402,0.35842097,0.014873416,-0.09465363,0.011983723,0.24889222,0.18534155,0.13098383,0.28184873,-0.64895046,0.38857284,-0.041966576,0.23384933,0.3574462,0.24282,0.09749854,-0.05765043,-0.35224992,0.13681385,0.19542162,-0.22492066,-0.41412896,-0.154495,-0.088410355,0.34517404,-0.20865531,0.24474543,0.27523372,0.29009667,0.46811223,0.41741815
9,long,-0.2146356,0.41606328,-0.3046852,0.32239142,0.77135074,0.06705214,-0.09685685,0.2574298,-0.35974872,0.2061452,-0.06693664,0.30416593,0.5663603,-0.09579851,-0.20119357,0.28799275,-0.32142988,0.02725509,0.17495812,0.21172802,0.695352,0.34782648,0.21383,0.008973584,-0.3529568,0.0050108824,0.13028158,0.3906188,-0.11892789,0.93057096,0.20508507,-0.07351475,0.10195587,-0.25683096,0.107284255,-0.0028904693,-0.5355121,0.4415591,0.07421957,0.124245256,-0.075792775,0.50307804,0.33649147,-0.6439838,-0.046508227,0.1150991,0.032245055,-0.4640504,1.0529747,0.177385,0.274148,0.23018731,-0.16742411,0.9040846,0.18219271,-0.42139766,-0.18983115,0.39560118,-0.2996439,0.23508534,-0.092896014,0.34360602,1.1350034,-0.34519726,-0.12491068,-0.26969412,-0.22809497,-0.01735256,0.4017257,-0.15340899,0.19095926,0.4151902,-0.46973068,-0.50306433,-0.24950257,0.53639096,-0.566805,-0.32366768,-0.25640416,0.22952169,-0.17431518,-0.5042842,-0.20916569,-0.14163202,-0.16273212,0.4295269,-0.38185155,0.47554412,0.24642274,0.09559655,0.52781993,-0.010129388,0.2890265,0.5651404,-0.4560002,-0.34240475,-0.20717981,0.1348987,0.160898,-0.27286136
