,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,why,1.5490029,0.2736735,0.21176428,-0.25056767,-0.4833494,0.30025503,1.354566,-0.6673694,-0.18656543,1.6341432,1.4944729,2.9232552,1.5514975,-0.10037594,-0.3858646,0.63502705,0.93375313,-0.33690816,1.2140837,1.3168509,0.4380146,-0.5309143,-0.19000846,-1.478959,-1.0342432,-1.441013,-1.1519257,-0.36617458,-1.0830442,-0.33547536,2.3480754,0.35602313,-0.6036992,-0.64790213,0.1928499,0.087009884,-0.7535158,0.12042947,-0.8096786,0.61387,0.25528014,-1.3546283,-0.100204505,0.7568596,1.2139984,0.54071456,-0.36056787,0.37217113,-1.6642643,-0.1457708,-1.0108997,-0.3881895,1.1416731,-0.33324337,-0.80555415,-0.7954861,1.0816401,0.1519901,0.4962397,-2.2617614,-0.16724265,-1.8724359,-0.9401615,-0.23882629,0.40841463,-1.5385256,1.5799078,0.73394984,0.4945026,0.7176347,-0.6729628,0.32462382,0.9624846,-1.6635296,-0.69110644,1.408847,2.0703688,-0.6723226,1.053893,-0.7145277,0.7927767,0.85445917,-0.5839948,-1.9379225,-0.7730269,0.7910689,-0.06652058,-0.9922214,-0.44458362,0.90509385,-1.5639434,0.2589529,0.67193896,1.0944388,0.32741702,1.5299165,-0.86360246,1.565964,0.020997722,-0.13181746
1,do,-1.5000911,-1.148447,0.46461347,0.03191496,0.93720055,0.8907335,1.1788657,-0.2339116,-1.321927,0.87824285,-0.4406945,0.6696666,1.4589936,-0.31096134,2.447933,-0.58569,-0.5846357,-2.3445055,-1.985493,-0.82286215,0.20238373,-0.16828255,-0.778936,-0.8714514,-0.271678,2.0973687,-0.5971367,0.79675734,0.8279826,1.5312911,-0.30363643,0.24956635,-0.3397153,0.89078194,-1.3885936,-1.8587395,-0.3469246,1.8186734,1.0525162,1.1920601,0.69393253,0.15355201,-2.0194182,0.3543091,1.067981,-0.9350354,1.1701924,-1.2122552,-0.19345629,-0.4378475,1.0422746,1.2405782,1.0709759,0.8485766,-0.55287117,0.16613695,-0.02127528,0.5928195,-1.2897828,-1.0654156,0.5194424,0.15970525,-0.68920285,1.3997289,-0.9718572,-0.8287203,-0.0072704535,0.08784249,-0.22082177,-2.2441711,-0.22365358,-0.041550636,-0.67289454,0.19503829,0.019069936,0.56848544,-1.9001817,0.047563832,0.64956474,-0.6694561,0.04826972,-0.33597356,0.56644785,0.8765327,0.073898554,-1.6474115,1.4642,1.1632794,0.45157373,-0.28703678,0.68878907,0.1188466,1.0191177,1.1233764,-0.19127022,-0.23544562,0.040665723,-0.6596409,0.219355,1.7163562
2,you,0.6496345,-0.49907285,0.3675231,0.95027506,0.5143334,0.34672007,-1.3508546,0.42625326,0.5661949,0.13586754,-1.1635097,-0.8299733,-0.17719243,-0.4913896,-1.2579783,0.58525556,-0.9771519,-0.35939842,-0.8128081,-1.038,0.17127043,1.0175478,0.25863227,0.7034191,0.1420425,0.10966751,2.2533166,1.5516734,-1.6866148,-1.2836095,0.09624915,-0.6898819,-2.1386745,-0.20113587,-1.4507359,-0.6110745,-0.22936104,0.26195163,1.9210021,0.30089012,0.13338956,-1.0404763,-0.16511832,-0.8688311,-0.021844883,-0.3295367,-0.8891909,-0.48081237,0.16512164,0.10956133,-2.070107,-0.9155009,-1.0212567,0.92975104,0.04206686,1.655311,-1.0487176,0.8438786,-0.8497237,0.79413867,2.007461,-0.26104254,-0.6690778,0.07939707,1.1949946,0.087450765,1.009907,-0.08618495,1.3568625,-0.61343765,1.1620283,-0.73541015,-0.64888257,-0.0948452,-0.8110149,0.09153144,-0.5679263,-1.851372,-0.8535842,-0.986097,-0.79530185,-0.3470156,0.32248753,-0.4788499,0.9225507,-0.16247523,1.1748309,-0.39834583,0.778856,-0.36008537,-0.9815513,-0.44994518,-0.75918245,0.024955112,-1.6076344,0.3580367,0.6162245,-0.9116139,0.008861686,0.025281262
3,not,-2.164091,0.9003575,-0.2844156,1.662321,-0.5351044,1.5926569,0.09942446,-0.38364485,2.1268284,0.46102145,-0.101257294,-0.71403396,-1.2959274,-0.49178997,1.0612376,-0.6168431,1.4569333,0.017658245,-0.8583197,-0.88075376,1.2015157,0.13787723,0.18478754,1.3146945,0.07116777,1.0762683,-0.71498734,0.9621648,-1.1312085,2.3937461,-0.42031923,-0.24286105,0.8618272,0.323355,-1.3841084,0.639361,0.77784896,-0.57969975,-0.4121128,1.5652913,0.10657843,-1.0217807,-0.17235316,-0.46391997,-0.37827665,0.7593613,1.0969309,-0.37108797,-0.6928837,0.8977761,-0.4767776,-0.6662382,0.8656267,-1.1873254,-1.5127226,0.76251423,1.5808597,1.0677869,0.29668373,-0.4022072,0.50826585,-0.25290596,1.7251642,-0.58577096,-0.25899765,0.9377586,-0.20502731,2.2075593,0.29105973,1.0248337,1.1744008,-2.0251603,0.8377039,1.2460496,-0.17764841,-0.6012501,0.08655071,0.074159764,-0.69061494,0.27972922,-0.6606443,0.028247943,0.9027801,0.35330966,1.4965904,-1.9663986,-0.15231983,-0.046211094,-1.7267975,-0.9253669,-0.56491107,0.8374551,0.08269723,-0.35885832,-0.49886277,1.0965911,2.3356547,1.019578,1.8488508,-1.1920834
4,about,1.22524,-0.9322559,-0.8024721,1.5241315,-0.28486136,-0.37564096,0.73738265,-2.3250766,1.0886341,1.0023558,-2.1623738,0.71986043,1.0888288,-1.7948288,-1.1172413,1.1491299,-1.1078314,-1.3352237,1.1187655,-0.09548272,0.52803,-0.595554,1.3348883,-0.9914915,0.35234442,-0.18033782,-2.8174443,2.4577227,1.7041849,-0.41821846,-0.5564474,-0.04990834,0.6294022,0.43038744,-0.87013,1.0636983,-1.5158329,-1.5464739,-0.16322924,0.22489439,-0.60818267,-0.15499942,-3.2836251,0.6220759,-0.2982479,0.69286156,-0.6965856,-0.05438292,2.405217,0.7365461,0.8454198,-0.3497564,0.9153176,1.4095491,0.13917054,-0.043563098,0.09861311,0.35548693,-0.54832774,-0.47622567,-2.0786726,-1.4023851,-0.22142252,1.8387749,0.5643991,-1.1771692,0.77356243,-0.34319106,1.7272027,-1.0175298,-0.6799233,-1.245649,-0.46374658,0.8848049,-1.2206275,-0.26901424,0.33356896,0.42541105,-0.8846143,-0.42807305,0.6604872,-1.3338529,1.4435225,-0.7541234,0.7426195,0.10025809,-0.55465674,-1.1518606,-0.43035442,-1.9420433,-0.3804886,1.3818246,-1.0463283,0.6645971,0.428437,0.23233216,0.69103885,0.5142123,1.3737164,-0.45211902
5,climate,-0.8818173,0.56906044,-0.000748756,-0.48057923,0.8160609,-0.5694519,0.6545369,-0.41713414,1.536756,-0.09135943,-0.775891,-0.6007194,-0.16675733,2.0714395,0.5503658,0.29260352,0.47647715,-0.3306917,-0.11268966,-0.21546014,-0.1491236,-0.5503921,0.41645774,-0.30677706,-1.4098392,-2.054801,-1.3954786,-1.0068883,1.3079396,-0.02746893,-0.23403512,0.5253709,1.8150036,-0.5526422,2.20285,-0.8166911,1.0284897,-0.67111325,0.624717,-0.148087,0.12049663,-1.1084172,0.68844104,0.32113665,1.9104315,0.31497115,0.67182624,0.7671485,-0.44978127,-0.88787174,-0.4758405,1.5230162,-0.6641148,1.2785481,0.2947945,0.80217093,-1.090145,0.054155964,0.39602932,-1.1896154,-0.8134163,-1.2009693,0.013711899,-2.8207085,0.64913636,-0.15329744,1.8746336,0.24736054,-0.13425632,-0.25247964,1.0891553,0.8162678,0.90535563,2.041579,-0.824297,0.027251462,-1.2688348,1.3801402,1.711655,-1.3608155,0.6716478,1.5949935,0.8935385,-0.9870929,-0.14535078,-0.06586444,-0.26067913,2.5328484,-2.6466458,0.6133085,0.16051896,-1.114542,1.894881,0.082706556,1.4743265,1.0374393,-1.0724114,-0.42682922,0.8994177,0.91323584
6,change,-0.13514954,-0.92046446,0.43842512,-0.23503463,-0.5837565,0.9645161,-0.28222805,-1.0609132,-1.3065475,1.827348,-1.2056789,0.42668897,-1.0435632,0.93456906,0.9545921,0.41566366,0.78389394,1.5852872,-0.5966319,-1.735197,2.8924108,1.3770627,-0.55121475,-1.0150529,-0.52879435,0.3970854,-0.30250654,0.10206148,-0.930716,1.4260098,-0.6287517,-0.2471421,-0.61094534,0.0158877,-0.12346133,-0.16303071,0.12627302,-1.0607412,-1.3911443,0.62506676,0.79754883,-1.8611674,0.02925614,-0.023545166,-0.3288443,1.3457489,-0.46840099,-1.2074169,0.46614194,0.92643297,-0.73242056,0.28154355,1.3161198,-0.17589352,0.053867947,0.8464214,-2.508238,-0.3895002,-0.2243926,1.5357912,1.2120464,1.144534,-0.5901516,-0.65896875,0.68339145,-0.9162033,0.076549105,-0.7282178,1.0814784,0.5255929,-0.5665125,-1.5543305,-1.1144302,1.7902868,-0.6376488,0.84843457,0.9261734,-0.2780478,-1.4798483,1.3051914,0.1888782,-0.36201978,0.68336046,2.1940136,-1.7706147,0.106534906,0.44290376,-1.5817693,0.96418405,-1.6575507,0.20093913,1.6328585,1.8227758,-0.5565609,-0.005494507,1.0786362,-0.0843609,2.1048489,-0.4316482,-1.0518063
7,?,-0.19705123,1.241062,-2.3205035,-0.15819001,-0.95233905,-0.6686808,-0.6782196,2.4701538,0.3531172,1.676352,-1.766154,0.20883468,-1.4486928,-0.7525021,-0.53329396,2.2636402,-2.375905,-0.36067733,1.0828477,0.908977,-1.4310509,-1.293546,-0.80839014,-0.45721436,2.067334,0.780854,2.3490636,0.442143,0.07741001,-0.6875859,-0.4059674,0.78206754,-0.3244848,2.289941,-0.015849097,-0.8027185,0.42071357,0.917123,-0.26858503,1.2723272,0.68178594,0.024987584,1.0266392,-1.205908,-0.4152573,0.67962176,-1.8252463,-0.60046196,-1.7404227,-0.5038715,-0.5709702,1.5650398,0.75804746,1.6940156,1.000648,1.2510694,0.22400102,-0.14358702,-0.61356634,0.60797983,1.3311865,-1.2889342,0.45045486,-0.76955837,1.0410877,-1.4946544,-0.2518433,0.905678,-0.781635,1.3824321,0.97957504,1.5956138,0.19133203,1.3599273,0.26803842,-1.6116158,1.4822202,-2.375789,-1.8343163,3.2785592,1.3128335,1.4351951,-0.6484166,-1.2553012,1.173029,-1.3009316,-0.1576391,0.391365,0.35583714,0.058679637,0.33907995,0.88726395,-0.85110766,0.15251729,0.61953795,-0.26821363,0.44775352,-0.55955136,-0.30737358,-0.99062926
8,be,0.70142925,-2.7418451,-0.44706282,1.4150463,-0.33982265,1.6951247,0.94546616,-0.46013087,0.2538992,0.29741517,-0.40145862,-1.4301168,-0.11124211,-2.0659196,0.17463727,-0.90383714,-0.39518842,1.2180874,1.4043992,-0.5555855,1.0892837,-0.3295287,-0.4002474,-0.84095824,0.3526822,-0.99256426,0.6345236,0.1979151,1.1684011,-0.17678949,0.8997681,-0.7701705,1.017375,0.45632848,-0.06077163,0.02734289,-2.4498646,0.2725856,-1.274022,-1.3550203,-0.37761426,1.0067747,-0.18696971,-1.0669419,-1.2858272,-1.4011085,0.12825668,-1.2535374,0.22229204,0.6932182,1.4501933,2.4038606,-1.0999134,0.6254421,1.2638801,0.8994393,-0.5627046,0.76701754,0.0102548,-0.84949666,0.10770793,1.0159236,-0.11427938,1.2026258,0.5960674,0.30129063,0.7286506,-0.2776066,-0.28886312,0.21138097,1.2014848,0.44812968,1.6652862,1.1165582,-0.06449229,-2.3222408,-0.05130509,2.7604845,1.058119,1.1827987,-0.5964953,-0.9266877,1.3088537,-1.532313,0.79259425,0.34534603,2.8770192,0.59496003,0.92428225,-0.02747677,0.38914672,-2.122997,-1.0831985,-0.7410836,0.20437978,0.7026866,1.5614668,-1.1371534,-1.0876807,0.044470593
9,to,0.23129855,0.44362816,0.45385087,-0.06468343,-1.0123785,0.79949135,2.2030423,1.1428752,-1.2871298,0.5026904,0.66681784,-0.3039303,1.5927078,0.864016,1.1978825,-0.5598927,-0.9704929,-0.1431297,0.4889556,-0.32818624,1.6196288,0.20552763,-0.61989856,0.0392896,-0.18368277,0.43926728,0.32551688,1.2242761,1.5773177,0.7859964,0.23500365,1.2641999,-0.27218193,-0.33273995,1.8229402,1.0252415,0.989721,-0.9352098,2.2944467,1.5247266,-0.03679179,1.0123081,0.7790444,-0.32908016,-0.22638653,-1.2561742,-0.5481791,-0.50348735,-1.0661635,0.41767487,-0.36046562,1.1326498,-1.2003185,0.20927425,-1.6060354,1.1222285,-0.08535773,-1.1845983,0.5855623,0.33177796,-0.47047454,-0.015034719,1.0218136,-0.58418405,-0.16074531,0.17452922,1.0633245,1.1189289,-1.1511718,0.30469432,-1.0853907,-0.3643171,0.38369685,-0.53326625,-1.2419187,-0.29511616,0.43159667,-1.2761443,-1.519813,-0.41839808,-0.29645014,1.5501981,1.3644333,-0.38537106,-0.26570892,0.123536006,-0.963436,-0.47589067,0.14564027,0.45891538,0.57236356,0.665871,0.6536131,0.6385304,0.5631106,0.6599816,1.706682,-1.0925664,1.6230103,-1.0234251
