,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,joe,-0.12966013,-0.64488035,-0.050643772,-0.4012226,-0.19097385,-0.3352304,0.23623276,0.17515543,0.041421894,0.013874846,-0.0640255,0.47507158,0.02377016,-0.40988272,0.34249127,0.15091476,0.34328547,-0.467803,0.37592635,-0.11457387,0.027997248,-0.41010767,0.03792144,-0.11979786,-0.40878782,-0.8639054,0.042285662,-0.060074836,0.115350224,0.067540355,0.3367366,-0.14558008,0.47250175,-0.35120493,-0.049496457,-0.13957253,0.006807938,-0.6857913,0.23484579,0.25442654,-0.013847635,0.36222452,-0.26569873,-0.27408165,-0.034321215,-0.20981666,0.095714234,0.023837296,0.3294635,0.06997152,-0.2254161,0.31763387,0.33880126,0.39803997,-0.014445409,-0.28977132,0.3277794,0.3945344,0.05402712,-0.09888851,-0.095413044,-0.327135,-0.10670724,0.21737094,-0.3096435,0.15205196,-0.91457886,-0.2632132,-0.578821,0.30945158,0.32808384,0.077260666,0.14176571,-0.25606266,0.16456912,-0.1663411,0.16408476,0.2691234,0.3095856,0.06516339,0.024311123,0.17731033,0.0027040893,-0.067705646,0.5361283,-0.9871879,-0.4242457,-0.37292734,-0.18954952,-0.11908085,-0.11138448,-0.2965557,0.40203738,-0.14030428,-0.19443683,-0.2818134,0.20932369,-0.07436521,0.7966661,-0.0868075
1,manchin,-0.15294984,-0.11814038,0.09727192,-0.22467306,-0.2761888,0.0471004,-0.010830462,-0.12524863,0.3602253,-0.06761129,-0.15092756,0.04247601,-0.24575722,0.1057005,-0.17113592,0.2599882,0.15341854,-0.32061127,-0.03012387,-0.018119132,0.1709388,-0.2509684,-0.10655907,0.0101298615,-0.13958925,0.01802447,0.09033602,0.10222032,0.06827412,0.04569311,-0.019290403,-0.03647022,-0.023407804,0.0064555136,0.33303407,0.22165072,0.014711444,-0.16455984,-0.22264285,-0.07141403,-0.066903524,0.30306488,-0.016630916,0.00042115545,0.0384834,-0.16506714,0.048026875,-0.27171707,-0.06492182,-0.24056014,0.014436318,0.05945127,-0.05270675,0.12273374,0.014015719,0.32663813,0.24164197,-0.058268007,0.013818996,-0.10044322,-0.092923515,0.05479056,-0.18650596,0.26867697,-0.22955404,0.15735945,-0.08748015,0.01097048,-0.08940522,0.2971486,-0.17779973,0.0661402,-0.0059668887,0.012107376,0.042017285,-0.008818188,0.30517244,-0.07357734,-0.14921972,0.11781637,-0.18319045,0.14244385,0.02503605,-0.25787547,0.30187848,0.16271573,0.21344388,-0.25257564,0.04703869,-0.007488802,-0.32337612,0.0464752,-0.036797453,-0.29112664,-0.21389425,-0.15048233,-0.10205388,0.15491477,0.14251319,0.10496246
2,for,0.25063685,-0.6400506,-1.2856144,0.034632664,-0.36695108,0.80745906,1.340772,-0.37624356,-0.2336764,-0.5364578,1.3529422,-0.977324,0.099385075,-0.7642376,-0.46711484,0.341782,0.13789743,-0.4734664,1.3932734,-0.8854149,1.13087,0.19762698,-0.50246876,-0.15138938,-0.39324594,0.8920933,-0.24140409,-0.52095985,-0.5575671,0.2910182,-1.0663561,0.80821204,-0.16329326,-0.1808029,-0.16514812,-0.043542698,0.78380847,1.9737173,0.13976714,-0.12458763,0.92689425,0.5107274,0.09767307,-0.033524245,1.0902139,-0.4793302,0.79135734,-0.0582178,-0.30056638,0.021827046,-0.12576482,-0.95577383,-0.22021939,-0.35794413,0.33261678,0.45858586,0.54155284,0.8451881,-1.2576209,-0.034708343,0.31426853,-0.23590365,-0.5943699,-0.70627475,0.27102104,-0.032650214,0.5041164,1.1601642,-0.80769014,-0.8351593,0.88503605,-0.27971923,-0.36728624,0.58460414,0.16477731,0.44568655,-0.8483193,-1.9630286,0.4129747,0.5599592,0.30085889,-1.0621135,-0.50586975,0.38038692,-0.13815741,-0.3847414,0.514615,-0.35651645,-1.6972972,0.85069066,0.99267066,0.29964945,-0.77352995,-0.64011437,0.16152063,0.14291413,-0.9219318,0.31279287,0.54591393,0.13750806
3,support,0.32612506,0.19643453,0.033541627,-0.26450878,-0.00594254,0.4348212,-0.50959927,0.9830568,0.34670985,-0.1275584,0.1307724,-0.15980056,-0.16416544,-0.10171212,-0.43063235,0.20578797,0.17870098,0.008085181,-0.24978554,0.5176607,-0.15730853,-0.5836797,0.62001383,0.012524522,0.04840044,-0.008085413,-0.28830025,-0.11405897,-0.26469094,-0.10864727,0.049195845,0.059438337,-0.3345675,-0.4367782,0.6475056,-0.00081347284,0.23864178,-0.6632832,0.49851552,0.07068011,-0.3273516,-0.07428605,0.24353418,0.18430403,0.14309017,0.2941448,0.2766494,-0.12200909,-0.08459647,-0.31290486,-0.23444474,0.2932589,-0.07183444,0.033657406,0.55185694,0.041888468,-0.27423748,0.17260717,0.5117588,0.38057804,-0.3964617,0.3655823,0.48398918,0.097116515,0.14489867,0.10260382,-0.14847244,0.3817756,-0.33328575,0.13111106,-0.5820431,-0.082325354,-0.21477693,-0.05054189,0.39705977,-0.5070844,0.14016989,0.0097195385,-0.5006592,-0.23188977,0.18127407,-0.36929575,-0.20133407,-0.2933414,-0.5537094,-0.18535341,0.29619598,-0.023312196,-0.3551862,-0.31998947,0.33979583,0.7498714,0.19369453,0.2369439,-0.06610252,0.23218337,0.30544266,0.5449772,0.700929,0.3360928
4,the,1.1679347,0.45255712,1.0090692,-0.23803644,0.12825646,-0.27842557,-0.5851588,1.0819218,-0.45419264,0.64063525,0.13808617,-0.10036957,0.010053684,0.20785633,-0.03885418,-0.21872298,-0.05354377,0.13721761,0.47376484,1.1173077,0.288278,0.13375977,-0.048487347,-0.11542536,-0.10747145,0.51266074,-0.08795469,-0.2934024,0.2596064,-0.023495695,-0.9605226,-0.3573601,0.15249634,-0.5527713,-0.37625122,-0.6440211,0.6623107,-0.010882603,0.8066601,0.76828176,-0.23907122,-0.6768564,-0.48915318,-0.48140138,-0.2599495,1.3127829,-0.252631,-0.6955317,0.5852886,0.4109493,0.114193045,0.00075604505,0.3862348,-1.0234362,-0.16587715,-0.34624514,-0.3906372,0.52097374,0.7651845,-0.049661912,0.4598857,0.29870674,-0.119246,-0.39813554,0.40275908,0.12320936,-0.67487067,0.04500244,-0.55965346,0.4941263,-0.1077352,0.3017684,-0.67606616,-0.26557118,0.09392314,0.021213794,0.44542173,-0.16650803,0.4241695,0.80511594,0.91989684,0.6210757,0.4994166,-1.0175563,-0.5088016,1.1223675,0.31360883,0.015835127,-1.3557161,-0.04003372,-0.4609545,0.3870696,-0.16387226,0.92436606,-0.08278876,-0.56628513,-0.30483776,0.5939987,-0.4883363,-1.2173924
5,climate,0.18763259,0.8608476,0.9055822,-0.20511459,0.12661447,-1.0254686,-0.034230094,1.0261176,1.0995495,1.7208687,-1.4582534,-0.9011758,-0.40312967,-0.47532195,0.7300734,-0.15332486,1.2760731,0.442437,-1.266722,1.6416056,-0.4448428,-0.37255532,0.01601931,-0.9549369,-0.078158356,-0.96775293,0.7438707,1.4851984,0.39784914,0.8907753,0.114732936,-1.0210179,0.5515567,-1.4816871,0.352248,1.9101351,-1.3665324,-0.7639403,-0.37087408,0.30008432,1.6878102,0.5785761,-1.5690417,0.21232142,0.5077214,0.6099854,-0.29805562,-0.433605,-0.9278065,0.2641262,1.427399,0.72903854,-0.7024216,1.2203612,0.060520895,-1.0026982,-1.0151552,1.2590605,-0.43095803,0.70855075,-0.53848255,0.22724204,-0.11711278,1.6231539,0.33230355,-0.40717307,1.2668451,0.52606505,-0.6368703,0.5840045,0.83104086,-1.0815202,-0.7641159,0.69804335,0.23757446,-1.0160984,1.0198705,-1.3168762,0.41317177,-0.3232812,-0.5173894,0.056912478,0.46066502,-0.7676813,0.78205824,1.0550876,0.2044593,0.3417821,0.5061748,1.0943804,0.8471538,-0.69782597,0.12682217,-1.3721706,0.42010024,0.34006375,-0.89900845,1.0786393,0.746947,0.22648937
6,change,0.105917744,-1.6091096,0.574619,-0.86770767,-0.85110694,0.11732637,-0.19881995,-1.0973622,-1.0303826,-1.3691478,0.5223468,1.0740169,0.7478655,-0.3208621,-1.1794345,0.6832345,-0.45386818,-0.95740885,0.91194475,-0.7526245,0.54544795,-0.7894789,0.097835585,1.6708139,0.09158909,0.3755843,0.35691988,-0.7025832,-1.2257439,-0.8114478,0.20522368,0.7349482,-0.85083604,1.2086687,-0.69497097,-0.94871247,0.4254415,-0.649718,0.4460418,-1.4725171,-1.2106667,0.6323584,1.3680909,-0.14487731,-0.9665321,0.4855583,-1.0600754,0.90172344,-0.5341525,1.4172921,-0.8441336,-0.6747814,0.61359364,0.112052955,-0.6134854,0.9009318,2.041558,-1.381715,-0.6469425,0.1282458,-0.33444142,0.28386375,0.913107,-1.2755086,-1.2832876,0.040885314,0.8733382,0.56599385,-0.40160754,-0.12651443,-0.676104,0.88508314,-0.14407805,-1.2589791,-0.5227029,1.2435374,-0.92494065,1.2275159,-0.39810884,0.92261916,0.531533,-0.21923193,-0.092799924,0.0005576565,0.37903985,-0.8758895,-0.3313978,-0.6722897,0.06823879,-1.5588619,-1.6681476,-0.12960137,-0.39766517,0.22677143,-1.9013152,-2.0983567,0.6010559,-0.21008782,0.8304522,-0.19531552
7,bill,-0.3348304,0.016726661,0.049940813,-0.303213,-0.32078722,0.0811132,-0.30101806,0.2337385,-0.2953103,-0.28437725,-0.040090043,0.19533752,0.075589195,0.2431017,0.19246109,0.23441765,-0.0115983775,-0.55828017,0.20283918,0.108898446,-0.15743619,-0.09754033,0.028114038,-0.03755965,-0.49558938,-0.052510332,-0.35208014,-0.050858594,0.026773036,-0.109265454,-0.23922746,0.43537128,-0.04601443,0.43834043,0.25676695,-0.14908963,-0.34991837,-0.68502784,0.47617957,0.019335384,-0.15323837,0.47123465,0.48001814,0.34452295,0.55932534,-0.23879369,0.3403964,-0.30657908,-0.3438003,-0.037629444,-0.27376089,0.035484545,-0.00256772,-0.3760425,-0.33406156,0.02459961,-0.02691035,-0.3344043,-0.44401485,0.07129085,-0.3185125,-0.099246465,-0.034421954,0.24643281,-0.10294772,0.13136573,-0.14929284,0.29689345,-0.45140544,0.051753588,-0.058933645,0.0071406476,-0.02621469,-0.011173941,0.22267023,-0.29997668,0.6143309,0.24689189,0.20017728,-0.06398624,-0.31303737,-0.4036489,0.15353759,-0.10596258,0.24481398,-0.36180064,-0.11988844,0.26318043,0.11421239,-0.20283063,-0.021608105,-0.21974598,-0.03702707,0.11527511,-0.11641921,0.14114605,0.11454948,0.15227255,0.32850212,0.2584938
8,that,-0.8514558,-0.55741817,0.37065965,-0.8957541,0.29838085,-0.061621554,-0.8880166,-0.71961343,-0.73923266,0.40065548,0.6430721,-0.3373258,-0.9907088,-1.5531693,0.058488395,-0.5370607,1.4673864,0.4587457,-0.4262813,0.5685154,-0.597798,1.1588907,0.42529747,0.40733197,0.5326765,1.1140852,1.1319886,0.19305606,-0.39785165,0.26963523,0.22181354,-0.12999718,0.5212531,0.0649766,0.9002365,0.38443506,1.0688001,0.05097371,-0.38992533,-1.4345481,0.5904128,-0.7581314,-1.4690533,1.0021422,-0.19262715,-0.32470086,0.5455494,-0.63335305,-0.1324806,-0.062319547,0.11354192,1.028529,0.33751747,0.24633026,0.47042495,-0.18625522,0.21695875,-0.0027137862,-0.18595022,0.4026292,-0.29184157,-1.1479764,-0.16111104,-0.41900823,0.3735533,-0.06820068,0.12705508,0.98870766,-0.2078877,-1.2190998,0.25429687,0.7262153,0.64865756,-1.7755711,0.5683999,-0.35121855,-0.9401939,-0.28246653,0.25521326,-0.41163063,0.78102624,0.3744815,-0.007913815,-0.23892397,0.0070790504,0.19668578,-0.55283755,0.4662778,-0.08421488,0.43756858,-0.34989032,0.1329013,0.015173037,0.3258983,0.565374,-0.16892058,0.75407386,-1.4844421,-0.2992481,0.49725854
9,news,0.09049471,-0.22990234,-0.09778687,-0.18070021,-0.21421085,-0.33657765,-0.27525225,-0.475884,-0.40311262,0.12388621,0.4511398,0.15197664,0.11061214,0.099592835,-0.37814,-0.11477299,-0.06865555,-0.3993224,0.66619676,-0.31450692,-0.26715466,-0.22666085,0.24965924,0.61199427,-0.2175374,-0.12376298,-0.14860514,-0.28342852,-0.6713475,-0.4105839,-0.037884053,-0.080784686,0.18735194,0.05845272,-0.08700269,0.18577775,0.40005288,0.04603148,0.5658167,0.27919143,-0.40791038,0.055013157,0.26324567,-0.35382608,0.28006715,0.30241236,0.22455278,-0.026409518,0.03158542,0.25651956,0.08332757,-0.19091496,0.51164675,0.1871003,-0.08540899,-0.14378701,0.22850308,-0.35520926,-0.41334006,0.4471447,-0.23778048,0.019598471,-0.26272702,-0.18341587,-0.5643876,0.5480997,0.023961153,-0.23277102,-0.3953367,-0.124807194,0.20583913,0.019289285,0.021006014,-0.486638,0.8649431,0.11735027,-0.17057292,-0.120900474,-0.047535703,-0.33464366,-0.011079171,0.36153638,-0.30908993,0.57415664,-0.14495815,-0.94466627,0.072373115,-0.155052,0.10720526,-0.118062176,0.040444806,0.01818618,-0.16093457,0.20661333,0.33288717,-0.50527984,-0.098641895,-0.07274223,0.32450378,-0.18797113
