,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,be,-0.49828428,1.1601539,-0.26529658,-1.160985,1.5892744,-0.2745904,0.16785441,-0.5462975,0.8049673,-0.75677675,0.46432757,0.4667211,-0.72753954,0.21100792,-0.009940159,0.8310642,0.24845396,0.8836113,1.1579549,-0.44419745,0.78858274,1.4843911,0.32486102,2.6941166,0.65780973,0.68060446,0.12212089,-0.3912093,1.5615299,-0.29054824,0.23249863,0.34527224,1.9147483,-1.9412247,0.03322929,-0.973734,0.23475097,-0.6810815,1.0698658,1.5433384,-1.3448094,-0.6116978,-0.30578518,1.0345887,1.3471674,0.2371172,-0.4109979,-0.33432555,-0.3372453,0.35375392,0.34076667,-0.8259831,3.484166,0.4441966,0.37745905,-1.192583,1.1416975,0.30066127,0.28868863,-1.8598281,0.7717258,-0.5790311,1.1425247,-0.4262915,0.1611016,0.03416274,-0.75338054,-0.45272887,1.9036305,1.2806039,0.956066,1.1466534,-0.24270475,1.1154684,0.29297215,0.63072956,0.053408563,0.6359517,0.53556865,2.0439546,0.9722347,1.9011285,1.1477777,-0.6433482,0.23769185,1.0490948,-0.03866437,0.062645994,-1.1846938,-1.1418114,2.2573655,0.9892982,-1.0046102,-0.91510653,2.1731663,-0.36776075,1.5771174,-1.2661278,-0.8187229,0.111398086
1,to,1.2059089,0.4490523,-1.1664774,2.2084181,1.0253623,0.18298352,-1.2301512,0.40889362,-1.1893024,0.029919542,1.3425398,-0.19932689,-0.61494386,-0.63584524,-0.0067625386,0.04805295,-1.5685227,0.932118,-1.1519468,-1.2813352,-0.43413475,0.086072065,-1.5822926,0.738624,-0.06892467,-1.7830393,-0.47255188,0.4266749,-0.30131334,-0.6766746,-0.7928231,-1.0063628,-0.24422035,1.1026156,-0.61260635,-0.88196564,0.5313936,0.5973021,0.77319247,0.03147925,1.0096775,-0.37241077,-1.1987574,0.9161783,-0.38616207,0.555056,2.0508938,-0.077718906,-0.80250996,0.35916877,-0.38841125,-0.39455104,1.393516,-1.6239125,0.21080135,-0.8912679,1.2440709,-0.2170679,0.49823576,-0.52852046,-0.044042315,0.59531987,-1.8236772,0.8707824,0.18396391,-0.73547393,-0.061032165,0.3702484,1.184698,1.0422982,1.0505196,-0.05844559,-1.2330177,0.79407716,0.19171727,-1.7666705,-0.84637135,0.64556986,0.31142533,1.177068,0.12873437,0.60849106,-0.12933904,-0.16403538,0.58286,2.3901608,0.23427315,-1.5153966,-0.04124159,0.6606874,0.6455704,-0.51742935,-0.40954053,-1.3808982,-0.441385,-1.1962228,-1.110608,-0.52144545,0.30565453,0.3068001
2,climate,0.43106782,-1.0109934,-0.44743943,-0.46049604,-0.16743179,0.1329962,0.67925924,-0.34087536,-0.24245971,0.1389859,0.02879421,-2.0910234,-0.050492074,-1.1253662,1.8803496,0.47539875,1.3786341,-0.5552743,-0.40888157,-2.0270407,-1.1809328,-0.9303192,-0.1894075,-2.196868,-0.60990024,-1.8927144,-0.62392783,-2.5580583,0.8912741,-2.496006,-0.65093756,2.5660138,-0.053322747,0.7434345,1.1262228,0.5643035,0.39889508,0.055416692,0.17331973,1.3854791,-0.14998259,-1.9522978,1.1362967,-1.6344825,-0.5905836,0.3243028,1.0378926,-1.2217232,-0.50293857,0.21293578,1.3663503,1.0501834,-1.2944504,0.96825856,-0.06636093,-0.27805892,-1.6993593,-1.0713588,-0.3191258,-0.041171495,0.18842982,-0.6971927,-1.4795768,0.4370267,-0.03373505,0.13236533,-0.8889168,-0.96289676,-0.78639746,-1.6497453,0.36384434,0.9755904,0.41486058,-0.17908847,-0.58993304,-0.72696626,0.13272698,-1.2923717,1.2977676,-0.94537556,-0.086064994,-1.1955304,-0.2971104,-0.23809557,-0.96892065,1.0663744,0.33151886,-0.0728122,1.0066549,-1.1079508,-1.4567152,-1.6178268,-0.46174675,0.75507665,0.5918995,1.7288357,0.433254,-0.2727244,-1.0896175,-2.0719392
3,change,-1.1388494,0.0049784645,0.14651906,-0.62089473,0.019933881,-0.5537229,-0.4862526,0.041422572,-0.51662403,0.8532544,1.4646811,-1.7579136,-1.7877761,0.5806564,0.56140614,-0.70517117,0.42117673,0.099930584,0.64482325,-0.18069823,0.10517397,0.71002597,0.3689882,0.9686708,0.2538241,-0.47445884,-1.6839751,1.7599206,-0.30837747,-0.5344169,0.8882719,-0.50899607,1.6416116,0.6064975,-0.09917995,-1.0938426,0.04865543,0.25178245,0.2865902,-2.6315877,1.7793527,-0.93985194,-0.3763945,-1.1931711,-1.0991592,1.572014,-0.019166708,0.645619,1.0977228,1.7922281,1.383625,-1.2367222,-0.56512535,0.97692955,-0.63709396,0.6258879,0.5084661,1.3145559,-1.962298,-0.40314075,0.9278233,1.1970469,0.37521514,1.0804542,0.7322568,1.8201609,0.98583496,0.65376973,0.5920663,-0.8752335,1.0845321,1.662084,0.14201474,-0.19463985,-1.2124606,-0.3496025,2.2427034,2.3625722,-0.416108,-0.95116276,-0.85911083,0.57934123,0.07737525,0.98549527,-0.45100468,-0.6633918,0.43008432,-0.9238712,1.0758325,0.3156016,-0.8201243,0.18087567,0.9187503,-0.29315668,1.2087572,0.22432302,0.622179,-0.34085804,0.32242486,-0.6624485
4,on,-0.059793487,1.3791809,-1.1572784,0.6180858,-0.45526636,-0.8199994,-0.55938935,0.037712228,1.1317672,-0.05789382,-0.011936544,0.66291046,0.088099256,-0.62640977,-0.46093118,0.22501613,0.21199664,0.48383528,0.4193933,1.5452011,-0.55503535,0.02918312,-1.1331803,0.43870124,0.19425108,-0.17902301,0.15048134,0.21061823,-0.40356562,-0.040551,0.04200363,-0.87831825,0.49052095,-1.3734193,-0.16819622,0.95329183,1.7971976,0.47762585,0.3521674,-0.032246284,1.621955,-0.7605759,-1.1239939,0.5089151,0.010015243,-0.67587125,-1.8091806,1.0753461,-0.8975626,0.7808504,-0.8060589,-0.2642702,-1.2572453,1.0273187,-2.0789769,2.2036436,-0.17495185,0.15564254,1.5810314,-0.57181484,0.9411855,-0.6507318,0.8899106,0.6256496,0.028416317,-1.8833675,0.16375485,-0.18981689,0.6153811,-0.0036592335,0.07653966,0.45173034,1.8391492,-0.882145,-0.9433005,1.3592371,0.51583016,-0.04545114,0.31438807,-0.09062776,0.0019962518,-1.6968739,0.42125338,0.063256554,-0.21018563,1.2638025,0.18557712,1.5485598,-0.46158963,0.09332515,1.5522076,-0.7631718,-0.4455365,1.4791528,0.75181943,-0.061125483,1.0582341,-0.06862841,1.2205313,-0.2955594
5,with,2.2620623,-1.2540327,2.2158248,0.28465095,-1.1272241,-0.0811923,0.5642691,-0.954227,0.53078324,-1.3096067,1.1353519,-2.3774288,0.9498028,-0.019976975,-0.5648686,0.15873885,0.64822584,0.8193394,1.7541504,-1.0318733,-1.082042,-0.9926584,0.20706825,-0.68649924,0.15622811,0.52950567,-1.0768179,-2.415768,0.79386497,-0.3274773,-0.79185814,0.9183875,-0.42704114,1.4862047,-1.2313633,0.09085692,-1.563204,0.16296422,-0.14167796,0.010844671,-1.9791428,0.8840283,0.6219214,1.0575104,-0.4798718,-0.26494536,-0.41189384,2.958759,-0.35815856,1.6681372,0.19586416,-2.0590212,-1.9855113,1.2607429,0.049919948,0.23688714,0.4172406,1.329013,-0.73216563,0.20581806,-1.074214,0.5710911,0.22679777,2.2589324,-0.87718475,1.7126155,0.2874187,0.6303359,-0.012339,-1.0905533,0.2962845,1.1994877,1.689299,-0.2814794,0.17447968,-1.1630968,0.90630454,3.4429543,0.63035655,-2.4140198,0.29672655,-0.6202545,1.1940253,1.4862423,-0.7329864,-2.0367465,-0.8004345,0.09014526,1.0064954,-1.6758168,-0.28608397,-0.5857564,1.4138261,-0.9209546,-1.0406184,-0.8387793,0.622355,-0.0013862157,-0.2162816,0.4007334
6,we,2.0294135,-1.353733,-1.0430025,-0.12390213,0.14526968,0.030938828,-0.55468374,1.2865607,-0.75599355,2.1820982,-0.5379893,-0.00468298,-0.13076523,-1.9737701,-0.4273618,-0.7512377,1.0767673,-1.8392932,0.69587964,0.6724175,0.71461946,-0.6898897,0.7478623,-0.27537382,0.9105922,-1.0348259,-2.1437554,0.04877058,0.21274702,-1.3519886,-1.7810644,0.053583335,-1.3559469,0.5758152,-1.7510583,0.7891564,0.105235495,-0.070956245,-0.093162976,0.05363732,-0.64262724,-0.8809571,-0.10580081,0.44635817,1.1146591,1.1829221,0.6018299,-1.89107,-1.3197019,0.14638919,0.5198887,1.9331311,1.2158126,-1.5709225,1.0313885,0.472058,0.44693962,-1.4282633,1.857094,-1.4764174,0.95917666,0.12085095,0.5432817,0.4862381,0.5281274,-0.08300423,-0.5927731,-1.9036022,1.676725,0.542976,-0.8779706,2.303392,0.2855031,0.59011734,0.0068875896,-1.3088493,0.7839689,0.10486339,0.7449455,-0.49932915,0.17142682,0.84723496,-1.7178261,-1.0717955,1.4338979,-0.83025527,-2.8691173,-1.270766,0.26290458,0.39814448,0.5751955,1.2942485,-0.6131769,0.080008335,0.2939516,-1.8263463,0.5247786,-0.20198359,2.289052,1.4508675
7,up,0.9070026,0.5076178,1.0253962,1.6044143,-1.7123826,-0.3646568,1.1559988,0.8838802,1.7021405,-1.0832657,-1.7392669,-1.4507797,1.9101875,1.1969539,0.41095343,-0.47175464,0.6824365,0.25027794,0.053593345,0.10663768,0.93327254,0.864687,-2.4393847,1.0645342,1.224485,1.6192678,0.8606577,0.020614143,0.35598138,-0.22795412,1.0784285,-1.2889624,0.5811658,-0.19813997,-1.8160012,-0.56424624,-1.3926873,0.98752874,1.1252174,-1.4614215,-0.96128786,0.31049615,0.34555888,-0.8413268,0.6458236,-0.28078756,0.10666901,-1.1806837,-0.6378944,1.2252146,0.5210953,-0.82974774,0.5058423,-0.8858984,0.4236627,0.6131394,-0.5534139,0.14397351,-0.5835514,-1.026086,-1.1487631,-0.58213395,-1.3240157,-0.5881886,0.9054769,1.4917783,-0.68846387,-1.4759392,2.166463,0.039265517,0.25772458,0.87665665,-0.6373877,0.64173365,0.60169715,0.30221045,1.0443263,0.8537523,-1.6904265,0.26046345,-0.7354754,-1.5217497,-0.11170062,0.89258957,-2.1354442,0.31973708,-1.8980329,-0.40580723,1.0874714,-1.1095424,1.0216137,-1.0706861,0.24070399,-0.8105044,-0.23336609,1.0448844,-0.22812663,0.3168145,-0.43208495,-1.1316962
8,the,1.1932772,1.3031843,0.5359202,-1.05842,1.8644248,-1.067073,-0.5174417,-0.5879873,-1.2468162,1.5115353,1.2876548,0.2588522,0.21828893,0.5143222,-1.4522265,-1.1727198,-0.5169137,1.4899395,-0.8408673,-0.75445306,-0.7135228,1.1465352,0.44888565,1.138122,1.126985,0.7804977,-0.2995981,0.06480137,-0.15260746,0.15486436,-0.7077414,-0.78929216,-0.28180796,1.3007524,-0.10829548,-1.6078467,-1.7147517,-0.9524959,0.7661964,-0.1171834,-0.94945604,-0.29173756,0.45349318,1.613893,-0.46045876,-0.41065672,-0.3634369,1.070092,-0.3508533,-0.6151999,1.4859215,-0.98343265,-1.5204463,1.1682713,-1.5551127,1.1560222,-0.36545682,-0.40614286,2.1209383,0.2494492,0.14489934,-0.7324983,-2.394746,-2.0203457,0.8008576,-0.8490268,1.5123858,-0.3418717,-1.5787807,0.91766095,0.13914219,0.35057062,1.4316901,0.19587862,-0.66746485,0.6780565,0.74180603,-0.39081585,-0.34224585,1.0594525,-1.0013735,-0.17976815,1.6428554,-0.49469498,-0.63461727,0.656374,0.6418774,0.67400783,-1.7864001,1.236343,0.35614613,-0.7284586,0.7488849,1.9337125,1.2960861,-1.1454284,1.8123162,0.44444773,1.7513342,1.4919041
9,as,-0.018591573,0.20199192,-0.26673698,0.34216303,0.85348123,0.08316441,-0.085622385,0.12949277,-2.0813131,0.23710229,0.2806024,-0.8338177,-0.72657347,-0.97635525,-1.8573376,1.1251693,0.65627474,0.3390833,0.040361058,-0.5456373,-0.91539335,1.029749,2.5672545,-0.14719857,0.6831131,-1.5875338,1.2234596,-0.35919064,0.532911,-0.14595872,0.09884068,0.07630879,-0.075690076,-0.17684862,0.24922378,0.5832733,0.67159945,-0.47965524,-0.6518211,-1.3048248,1.1781974,0.4842496,-1.5213207,0.29801115,-1.4559,0.8255696,-0.3587645,-0.51508826,0.72043556,-0.6985944,1.7097976,-0.6427405,-1.585411,1.1947023,-1.157498,-0.69531924,-0.04935055,-1.262719,-0.34142393,0.84113747,0.7829243,1.1358074,-0.6570883,-2.1481693,-0.47116724,-0.9122441,1.8915197,0.7405704,-0.18263593,1.4861223,0.38996086,-0.48180228,0.12005856,0.10090034,-1.01741,0.41771644,-2.0386107,-1.1671962,1.4021943,0.13494712,-0.61892974,0.8250783,0.56428415,-0.49396288,-0.7573684,-0.8108941,0.99758655,-0.22964387,-0.96001744,0.078771785,-0.29851368,-0.9524961,-0.5710152,0.7815248,0.50754553,-1.0189158,-1.784753,1.9104911,-0.88792825,-0.5302513
