,word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,remember,0.02440695,0.00423352,0.0062804916,-0.06963105,0.09632964,-0.017090159,0.015366502,0.0042374292,-0.0023363587,0.019656975,-0.023770766,-0.039158717,0.03362216,0.002715383,0.020113653,0.008885217,-0.025668118,0.027706271,-0.0090486,-0.1257456,-0.056813817,0.07341628,0.025783017,-0.009311095,-0.015519123,-0.009133991,-0.06064761,0.043950908,-0.027268684,0.05375353,0.16969667,0.047746643,0.105922796,0.051668864,-0.020064756,0.0060181725,-0.027984047,-0.11827516,-0.023068655,-0.14524911,0.025715398,0.099969,0.03386846,-0.053660184,0.07556404,-0.015500437,0.19772835,0.09686103,-0.03387484,0.009458185,-0.042391263,0.1626231,-0.024333617,-0.03180853,-0.10314914,0.04675459,0.05625493,0.13352187,0.025089307,-0.034082133,-0.0011419202,0.07865409,-0.04435466,0.04947349,-0.052312475,-0.019678585,-0.03821286,0.020850206,-0.001823179,0.033604667,0.15643059,0.024705749,0.023886202,-0.012466501,-0.022809098,-0.008380755,0.088634565,0.008199164,-0.0126855485,0.043729827,0.0041571218,-0.052425347,0.051644526,0.010032597,-0.011551805,-0.018214092,-0.011778229,0.07172143,0.16123022,0.08294878,-0.11560815,0.007239442,-0.015098619,0.018924326,-0.053033244,0.03733424,0.019701,0.029921561,0.007846657,0.057617795
1,climate,-0.89406025,-0.3674128,1.3164489,0.21243858,-0.52675116,0.20723693,1.150344,1.4501035,-0.9834824,-0.61191154,0.711246,1.9646379,-0.5229185,0.8093074,0.70319754,0.7991781,0.46753156,1.3764341,0.23987144,-0.28251866,-0.8229462,-0.5798874,0.6918413,2.4429677,1.5149909,-0.22827531,-0.07319271,0.2183661,-1.440869,0.4294495,-0.25535163,-0.99678403,0.515797,-1.02516,0.11321267,1.9730235,1.4984599,0.36347806,0.6694677,-0.16250448,1.5300417,0.23021027,-1.2520518,-0.20511389,0.4102799,0.7937604,-0.2786623,0.22028914,1.1828747,-0.9654193,-0.094381616,-0.24803717,-0.7182939,-0.108259164,0.016930327,0.21338892,-0.6351979,0.20562458,-0.9846125,-0.14711359,0.42434803,0.51598483,-1.0606554,-0.8363315,0.17955038,1.0477893,0.5519332,0.07442196,1.0123522,-0.18827854,-0.050454784,-0.7946988,-0.539743,-1.8442901,1.1782181,-0.22376698,0.17681862,-0.19705306,0.10097334,0.5601574,-0.6230607,-0.030486524,-0.06053823,-0.25312713,1.3651665,3.4187727,-1.1450974,0.15675613,0.103172176,-0.09927947,0.29744628,0.2857228,0.087268904,-0.42845517,-0.7400278,-1.6019531,1.6058408,0.69762653,-0.38716465,0.76141477
2,change,-1.1331843,0.40483418,0.70747894,-0.25555706,0.40577477,-0.20717539,1.1755798,-1.8377111,-1.5238692,0.72381866,-0.6756801,-0.8090851,1.0981396,-0.48794186,-1.4337274,-2.3373241,-0.4030921,-0.47501916,-0.8362609,0.33980116,1.0649583,0.6029278,-0.8518839,-0.30915275,-0.8079274,0.22437277,-0.08262159,0.046126377,0.45493972,-0.57062477,0.17492288,0.6878949,-0.40608042,0.59235644,-0.13788402,2.4626563,-0.75995076,-0.2581466,-1.345276,0.13054292,1.4334104,-0.26370987,1.1071652,0.26479685,-0.7578068,0.77530706,0.33328906,-0.23502134,-1.1968731,-1.3156427,0.0834278,0.2358452,0.51724094,0.07767754,0.022063397,0.13121846,1.3902454,-0.16671088,1.4397169,0.14483652,-1.3544303,-0.47983637,-0.91249466,0.36206537,-0.53227115,-1.354043,-1.3978578,-0.049553346,-1.284439,0.21340862,0.091648586,0.7558545,-0.34003633,1.0950956,-0.49681702,0.2882257,-0.17790693,0.5980646,-0.13258204,0.20888329,0.47835836,-0.041147605,0.028481366,-0.8717321,1.2172203,-0.30323914,0.6498175,0.14592907,-0.22866324,0.14586471,-0.23690979,-0.19587056,-2.7144058,0.60074943,0.37119418,0.39531916,-0.22905421,-1.1868949,-0.3888194,-0.66225755
3,?,-0.571823,-0.37328434,0.16850151,0.041515466,0.047784373,0.01498502,0.6117977,-0.2372363,-0.49540818,-0.48549238,-0.17577073,-0.10696997,-0.38541776,0.413406,0.27083987,-0.035442203,-0.16413815,-0.2930479,0.41062254,-0.23678443,-0.5227256,-0.17185122,0.21546683,-0.2716999,-0.54079276,-0.03979043,-0.030289665,0.22995663,0.60278076,0.7998084,0.027315984,-0.6548527,0.15381025,0.3645188,0.13681576,0.58355194,0.12816696,0.047697242,-0.3328233,-0.042648714,0.4389136,0.07997724,0.13093708,-0.05159592,0.24667549,0.2757835,-0.010508895,0.05652219,-0.5846166,0.6955129,0.0003771502,0.02906825,-0.6075951,-0.075115286,-0.28132027,0.61247885,0.9903012,0.0057046013,0.2500143,0.08072737,0.5151317,0.051343497,-0.8711764,0.38526425,-0.3817056,0.116257265,0.12534134,0.36890346,0.5406802,-0.12798631,-0.004894542,-1.358378,0.09199365,0.3047667,-0.928089,-0.13517036,0.040646818,1.3138052,0.17871751,-0.3033058,0.44507048,0.26892868,0.21410426,0.46887606,0.1439089,-0.14139171,-0.32659188,-0.15155421,0.16511184,0.023575582,0.035457563,0.09605083,0.88639665,-0.1525497,-0.1110952,1.5146111,-0.43436778,0.06695851,-0.13749744,0.18189707
4,the,1.1189691,0.08068066,3.9122798,-0.11342714,-0.24732955,-0.18195581,1.2461513,0.1738475,0.3434286,0.16311161,-0.2324644,-0.21392123,-0.11520175,-0.3714174,-0.15950269,0.396586,0.011309768,0.040625125,-0.11831713,-0.011957201,0.8599426,-0.2129601,0.29391277,-0.22665094,-0.39719522,-0.054781564,0.048070602,-0.36880228,-0.43174705,-0.25279033,0.063257664,-0.5237128,-0.1766051,-0.36093196,-0.009797591,-1.79895,0.52048117,0.20690589,-0.70652604,-0.12515208,-0.0682813,-0.05883527,-0.9881774,0.14434403,-0.1975528,-0.49645153,0.28834993,0.15239255,-0.09289987,-0.7223209,-0.06772302,0.19375964,-0.11074808,0.32018214,0.052472785,-0.032529745,1.6241013,-0.05417626,0.35546252,-0.036868922,-1.0271528,-0.14358844,0.8019737,-0.25904104,0.8832673,0.13944732,0.4556666,-0.014054193,1.2961143,-0.07089354,-0.056234676,0.17764519,0.59673584,0.7872867,0.47419068,0.039419048,0.072536305,-0.9091875,-0.07052625,0.60928303,-0.12492378,-0.21287188,-0.15569228,-2.1434865,2.343467,0.09452992,0.22595738,0.14935236,0.07965602,0.09064954,0.029286394,0.21538699,0.733841,0.29260424,-0.4515944,-0.5231132,-1.0946752,-0.115787216,1.9668885,0.03785322
5,pollution,0.063928045,0.15064378,0.1434941,-0.17181692,-0.5771042,-0.032930512,0.055885307,0.14437354,-0.062777355,0.14374535,-0.2891114,-0.031373274,-0.19483726,0.27735248,-0.17199846,0.0442646,0.40530908,0.09555103,-0.02120549,0.10221706,0.13737613,0.1391384,-0.16977875,0.14583373,0.13870253,-0.16345955,-0.22317427,0.42917842,0.02486783,0.46825522,-0.052194543,0.02241839,0.3129941,0.52193666,-0.009618827,0.09491176,0.49250117,0.3507398,-0.25638252,0.08928916,0.111752786,0.17724225,0.15039593,0.1997063,-0.27058712,-0.021810118,-0.03090829,0.08517559,-0.13614836,-0.14682236,-0.39162937,-0.24598955,0.06006238,0.09437438,0.119189866,0.28377858,0.07748299,0.07897189,0.012529165,-0.4084007,-0.23432936,-0.07933206,0.21837617,-0.65053755,-0.10683634,-0.090161085,0.20169957,0.18643121,-0.17776251,0.35530332,0.08788248,-0.27505773,0.16415708,-0.07210094,-0.011804101,0.18092757,-0.113751255,0.110974565,-0.16251418,0.117703445,0.5238415,0.11735263,0.06261341,-0.07619893,-0.032127853,0.04654831,0.120249055,0.5024154,-0.18476053,0.38502097,0.23515901,0.108424045,-0.173217,-0.36594158,0.33646166,0.017969277,0.033678103,-0.039555844,-0.2175517,-0.05997872
6,of,0.7650344,0.18309091,-0.78107595,0.3073395,0.1193214,0.0752587,0.09558437,-1.4476757,-0.45263278,-0.058709104,0.2825171,0.8037768,-0.50952,0.37616765,-0.6906564,0.6688227,-0.046275437,-2.4228344,0.06619147,0.055492133,-0.72964185,0.05615094,-1.1090221,-0.7416518,-0.8465074,-0.003312615,0.06822508,0.2342873,0.112721555,0.1288198,0.075449,0.559402,0.09621909,-0.002681389,0.03278894,-0.40122935,-0.22565351,-0.12165646,-0.927447,-0.032678407,-1.3264322,0.2038157,1.6705508,-0.05539094,0.032367907,0.944766,-0.13715203,-0.20203489,-0.97575074,-1.688183,-0.022148147,-0.039786123,-0.5350258,-0.43611157,-0.105610184,0.38654113,-1.4523189,-0.010199308,-1.5832711,-0.1065261,2.504616,-0.31278548,0.19780149,0.50465965,0.66122144,0.5830494,-0.20009936,-0.14605306,0.4760253,0.21563013,0.21181703,0.23867701,-1.048729,1.188406,-0.058720868,-0.18983203,-0.07915781,-1.2209445,0.0063100485,2.4171226,0.1953171,0.6617686,0.40110207,2.1898699,1.7962325,0.0071536256,0.6527749,-0.21712354,-0.015271251,0.13631551,-0.21917038,-0.14031367,0.08668326,-0.05164455,0.2701366,-1.5333997,-1.3088979,0.25541645,-0.47230697,-0.7585837
7,coal,-0.026607672,0.11004143,0.030761205,-0.027751487,0.116109475,0.21439911,-0.02343926,-0.14547913,0.07727786,0.23422477,-0.3549089,0.010736031,-0.2222625,0.13873784,-0.2518642,0.055857595,-0.0102705555,-0.01714586,-0.061259706,0.07715869,0.08186248,0.14297539,0.11402861,0.0928155,0.11466651,-0.08365446,0.1774575,-0.12341619,0.07450035,0.19313061,-0.019640427,-0.29059502,-0.33353165,-0.19321065,0.26911148,0.07942016,-0.17130499,0.41088125,0.1588131,0.07055762,0.0054846248,-0.16641514,0.02740617,-0.05197105,-0.45564246,0.042539794,0.022766551,-0.19252081,-0.04982388,0.06082817,0.21537831,0.22134463,-0.06662735,-0.008608172,-0.0030847157,-0.24470502,0.017428603,-0.120990574,-0.1360348,-0.13073829,-0.0048155473,0.055980124,0.123597056,0.09127286,0.10369213,0.10681642,0.14349538,0.044939645,-0.14357455,0.14683796,-0.08580676,-0.13036145,0.15009426,0.12935661,0.07495755,0.042498555,0.0752413,0.18722092,-0.10529844,0.06245296,-0.11732605,-0.03902021,-0.31818944,0.048730984,-0.014954609,0.16108513,0.12260952,0.012606863,-0.18045178,0.037062556,0.0716742,0.04243066,-0.014142782,-0.0068634646,0.094729036,-0.13177061,-0.03763173,-0.023879997,0.15951158,-0.3980561
8,plant,-0.08238855,0.06615173,-0.03253681,-0.23261122,0.16530144,-0.053043958,0.07804404,0.06013873,0.056318104,0.06965017,-0.32286796,-0.15412807,-0.22769041,0.3507682,-0.1221739,-0.021592194,-0.12727441,-0.031243768,0.051714554,0.39175466,-0.15155157,0.2553897,0.107719,0.116648905,0.059679892,-0.39446843,-0.07952439,0.07473538,0.30238017,0.15680867,-0.12471308,-0.0048769074,-0.2843254,-0.4321286,-0.09181628,0.08473538,-0.2553732,0.2644423,0.25202328,-0.2955724,-0.064044744,-0.35737413,0.088879034,-0.3226212,-0.30794367,0.11018575,0.2650767,-0.08619405,-0.16466656,0.0025258907,0.07444249,0.06891377,-0.15823725,-0.06418569,0.15708579,0.026452659,0.039150205,0.12501828,-0.06556245,-0.2341493,0.055804048,0.25731102,0.21867934,0.09783379,-0.12448852,-0.12914424,-0.022598265,0.15211324,-0.15853702,0.1883435,0.011204241,-0.015493709,0.05656528,-0.048347335,-0.055831116,-0.008164964,-0.02106428,0.20837288,0.19388062,0.06942259,-0.11142762,-0.04783338,-0.2745872,-0.0739305,-0.026398407,0.15198699,-0.12827554,0.2824148,-0.109729476,0.34733465,0.13005884,0.18862595,-0.068472214,-0.24016145,0.19186011,-0.046772044,-0.008386884,-0.14616157,0.28367272,-0.39753005
9,we,-0.2219706,-0.55124617,0.032206412,0.23478284,0.43166187,-0.08384083,-0.12501192,1.0591896,-1.2159826,-0.46472472,0.0006128447,0.9407311,0.6699219,0.47239354,1.8699087,-0.19576955,0.7557486,0.16794236,0.23554641,0.16400254,-0.5250557,0.49214795,0.8372236,-1.0782702,-1.2946817,-0.031373214,-0.1503956,-0.020887012,-0.6462438,-0.52262354,-0.073509805,0.998754,-0.01852596,0.06617685,-0.29042765,-0.21807146,-0.16859674,0.14834137,0.5080965,-0.03980305,0.013063598,0.14736898,0.86788636,0.2835946,0.6359438,0.6779211,0.26252267,0.053907637,-0.29827908,-0.68101543,0.030990297,-0.017570814,-0.7360571,0.19425786,-0.12267611,-0.23413481,-0.17422509,0.19272836,0.4582258,-0.16378468,-0.6140111,0.94878566,0.49593017,-0.6111058,-0.3201789,-0.7137029,-0.29630032,-0.5344866,0.61692345,0.09614675,0.07877629,0.96936804,1.0615214,-0.47244295,0.13916247,-0.21507405,-0.069293275,-0.12206466,0.3019775,-0.4534914,0.22726499,-0.2857054,-0.1942942,-0.598138,-0.13503964,0.4149154,-0.79805326,-0.29713833,0.04219589,0.025194433,0.07010603,-0.05479396,1.0026951,-0.30761015,-0.0947297,0.8577465,0.4316495,-0.82834864,0.4041465,0.1535964
