,loss,accuracy,context_size,lr,batch_size,epochs,patience,min_delta,gamma,step_size,dropout,time_total_s,val_loss_list,train_loss_list
0,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.446718454360962,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
72,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.4509010314941406,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
71,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.6014609336853027,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
70,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,2.0680785179138184,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
69,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.4607510566711426,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
68,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.4960823059082031,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
67,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,2.001784563064575,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
66,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,2.0749945640563965,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
65,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.9502506256103516,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
64,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.711331844329834,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
63,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.579819917678833,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
62,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,2.0098910331726074,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
61,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,2.0449938774108887,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
60,3.0,0.22058823529411764,2,0.009159544393144516,512,200,10,0.0006816366988585599,0.9,5,0,1.4667785167694092,"[3.253305196762085, 3.1895291805267334, 3.134925603866577, 3.090576171875, 3.055227518081665, 3.0305848121643066, 3.0138025283813477, 3.0026097297668457, 2.9976420402526855, 2.998281717300415, 3.0031039714813232, 3.0111441612243652, 3.021512269973755, 3.032810688018799, 3.0452022552490234, 3.0573794841766357, 3.0704667568206787, 3.0842254161834717, 3.097844362258911]","[3.4180386066436768, 3.183279275894165, 3.013032913208008, 2.887155294418335, 2.713855028152466, 2.5793769359588623, 2.493637800216675, 2.416146755218506, 2.2512216567993164, 2.1906540393829346, 2.0902650356292725, 2.0557026863098145, 2.008237838745117, 1.990384817123413, 1.9173825979232788, 1.9483792781829834, 1.8286824226379395, 1.8264693021774292, 1.741612434387207]"
